alcaldia_catalogo,colonia_catalogo,total_incidencias,total_delitos,total_falla_alumbrado,total_delitos_nocturnos
Gustavo A. Madero,Ampliacion Casas Aleman,32,257,3.0,76.0
Gustavo A. Madero,Ampliacion Castillo Grande,2,4,0.0,2.0
Gustavo A. Madero,Ampliacion Chalma De Guadalupe,2,3,1.0,0.0
Gustavo A. Madero,Ampliacion Cocoyotes,1,4,0.0,2.0
Gustavo A. Madero,Ampliacion Emiliano Zapata,3,18,1.0,3.0
Gustavo A. Madero,Ampliacion Gabriel Hernandez,14,130,0.0,37.0
Gustavo A. Madero,Ampliacion Guadalupe Proletaria,5,17,0.0,4.0
Gustavo A. Madero,Ampliacion Martires De Rio Blanco,6,31,0.0,8.0
Gustavo A. Madero,Ampliacion Panamericana,8,22,0.0,6.0
Gustavo A. Madero,Ampliacion Progreso Nacional,10,74,1.0,20.0
Gustavo A. Madero,Ampliacion Providencia,5,55,0.0,12.0
Gustavo A. Madero,Ampliacion San Juan De Aragon,8,63,1.0,12.0
Gustavo A. Madero,Aragon Inguaran,5,43,0.0,13.0
Gustavo A. Madero,Aragon La Villa,19,115,0.0,27.0
Gustavo A. Madero,Arboledas,8,42,2.0,18.0
Gustavo A. Madero,Barrio Candelaria Ticoman,25,57,4.0,18.0
Gustavo A. Madero,Barrio Guadalupe Ticoman,17,23,1.0,5.0
Gustavo A. Madero,Barrio La Laguna Ticoman,8,19,0.0,5.0
Gustavo A. Madero,Barrio La Purisima Ticoman,26,99,7.0,27.0
Gustavo A. Madero,Barrio San Juan Y Guadalupe Ticoman,7,37,2.0,16.0
Gustavo A. Madero,Barrio San Rafael Ticoman,10,11,0.0,3.0
Gustavo A. Madero,Belisario Dominguez,1,16,0.0,3.0
Gustavo A. Madero,Benito Juarez,23,49,2.0,14.0
Gustavo A. Madero,Bondojito,8,72,1.0,18.0
Gustavo A. Madero,C T M Aragon,5,68,0.0,17.0
Gustavo A. Madero,C T M Atzacoalco,37,97,1.0,31.0
Gustavo A. Madero,C T M El Risco,27,71,5.0,18.0
Gustavo A. Madero,Campestre Aragon,19,188,4.0,49.0
Gustavo A. Madero,Capultitlan,6,78,0.0,16.0
Gustavo A. Madero,Castillo Chico,12,11,2.0,5.0
Gustavo A. Madero,Castillo Grande,10,19,2.0,7.0
Gustavo A. Madero,Cerro Del Guerrero,4,28,1.0,9.0
Gustavo A. Madero,Chalma De Guadalupe,54,202,15.0,41.0
Gustavo A. Madero,Churubusco Tepeyac,4,20,0.0,8.0
Gustavo A. Madero,Cocoyotes,6,37,3.0,14.0
Gustavo A. Madero,Compositores Mexicanos,19,59,4.0,13.0
Gustavo A. Madero,Constitucion De La Republica,16,130,2.0,34.0
Gustavo A. Madero,Cuautepec Barrio Alto,11,97,0.0,30.0
Gustavo A. Madero,Cuautepec De Madero,12,92,0.0,27.0
Gustavo A. Madero,Cuchilla Del Tesoro,13,104,0.0,31.0
Gustavo A. Madero,Cuchilla La Joya,2,24,0.0,6.0
Gustavo A. Madero,D M Nacional,12,300,1.0,71.0
Gustavo A. Madero,Defensores De La Republica,11,45,0.0,12.0
Gustavo A. Madero,Del Bosque,6,23,2.0,5.0
Gustavo A. Madero,Del Carmen,12,34,4.0,12.0
Gustavo A. Madero,Del Obrero,4,30,0.0,5.0
Gustavo A. Madero,Dinamita,2,10,0.0,3.0
Gustavo A. Madero,El Arbolillo,2,7,1.0,4.0
Gustavo A. Madero,El Coyol,16,75,1.0,26.0
Gustavo A. Madero,El Olivo,1,32,0.0,9.0
Gustavo A. Madero,El Tepetatal,5,17,1.0,5.0
Gustavo A. Madero,Emiliano Zapata,13,34,4.0,6.0
Gustavo A. Madero,Estanzuela,8,11,0.0,2.0
Gustavo A. Madero,Estrella,22,144,3.0,35.0
Gustavo A. Madero,Ex Ejido San Juan De Aragon Sector 32,2,23,0.0,6.0
Gustavo A. Madero,Ex Ejido San Juan De Aragon Sector 33,4,55,0.0,16.0
Gustavo A. Madero,Ex Escuela De Tiro,27,10,21.0,4.0
Gustavo A. Madero,Faja De Oro,3,19,0.0,8.0
Gustavo A. Madero,Fernando Casas Aleman,1,8,0.0,4.0
Gustavo A. Madero,Forestal,10,54,2.0,12.0
Gustavo A. Madero,Forestal I,5,10,1.0,6.0
Gustavo A. Madero,Forestal Ii,1,5,0.0,3.0
Gustavo A. Madero,Gabriel Hernandez,13,111,0.0,33.0
Gustavo A. Madero,General Felipe Berriozabal,10,33,1.0,16.0
Gustavo A. Madero,Gertrudis Sanchez 1A Seccion,12,33,6.0,14.0
Gustavo A. Madero,Gertrudis Sanchez 2A Seccion,28,88,5.0,34.0
Gustavo A. Madero,Gertrudis Sanchez 3A Seccion,18,84,5.0,28.0
Gustavo A. Madero,Granjas Modernas,9,209,2.0,59.0
Gustavo A. Madero,Guadalupe Insurgentes,16,61,1.0,18.0
Gustavo A. Madero,Guadalupe Proletaria,7,65,1.0,18.0
Gustavo A. Madero,Guadalupe Tepeyac,82,380,7.0,107.0
Gustavo A. Madero,Guadalupe Victoria,18,41,1.0,7.0
Gustavo A. Madero,Guadalupe Victoria Cuautepec,3,18,1.0,4.0
Gustavo A. Madero,Heroe De Nacozari,2,25,0.0,8.0
Gustavo A. Madero,Heroes De Cerro Prieto,4,29,0.0,6.0
Gustavo A. Madero,Heroes De Chapultepec,9,19,0.0,5.0
Gustavo A. Madero,Indeco,3,9,0.0,4.0
Gustavo A. Madero,Industrial,69,308,9.0,81.0
Gustavo A. Madero,Jorge Negrete,57,135,12.0,40.0
Gustavo A. Madero,Juan Gonzalez Romero,12,74,1.0,21.0
Gustavo A. Madero,Juventino Rosas,1,6,0.0,1.0
Gustavo A. Madero,La Casilda,5,37,1.0,9.0
Gustavo A. Madero,La Cruz,1,22,0.0,5.0
Gustavo A. Madero,La Esmeralda,8,75,0.0,18.0
Gustavo A. Madero,La Joya,4,60,0.0,15.0
Gustavo A. Madero,La Joyita,5,30,0.0,7.0
Gustavo A. Madero,La Lengueta,3,27,0.0,15.0
Gustavo A. Madero,La Malinche,40,38,0.0,16.0
Gustavo A. Madero,La Pastora,27,64,1.0,18.0
Gustavo A. Madero,La Pradera,22,90,0.0,21.0
Gustavo A. Madero,Li Legislatura,1,3,0.0,2.0
Gustavo A. Madero,Lindavista Norte,42,193,6.0,57.0
Gustavo A. Madero,Lindavista Sur,50,251,6.0,64.0
Gustavo A. Madero,Lindavista Vallejo 1A Seccion,2,16,0.0,6.0
Gustavo A. Madero,Lindavista Vallejo 2A Seccion,9,23,0.0,5.0
Gustavo A. Madero,Lindavista Vallejo 3A Seccion,4,18,0.0,4.0
Gustavo A. Madero,Loma La Palma,32,123,2.0,38.0
Gustavo A. Madero,Lomas De Cuautepec,12,53,4.0,16.0
Gustavo A. Madero,Luis Donaldo Colosio,2,13,1.0,3.0
Gustavo A. Madero,Magdalena De Las Salinas,31,444,2.0,99.0
Gustavo A. Madero,Malacates,16,47,9.0,17.0
Gustavo A. Madero,Martin Carrera,21,204,2.0,66.0
Gustavo A. Madero,Martires De Rio Blanco,19,71,4.0,25.0
Gustavo A. Madero,Maximino Avila Camacho,4,37,0.0,14.0
Gustavo A. Madero,Narciso Bassols,5,27,0.0,8.0
Gustavo A. Madero,Nueva Atzacoalco,62,286,3.0,83.0
